"NAFO_zone","mean_vulnerability","sd_vulnerability","mean_s_thermal_safety_margin","sd_s_thermal_safety_margin","mean_e_climate_velocity","sd_e_climate_velocity","mean_yr_climate_velocity","sd_yr_climate_velocity","mean_e_time_climate_emergence","sd_e_time_climate_emergence","mean_ac_thermal_habitat_availability","sd_ac_thermal_habitat_availability"
"2G",0.413590531006289,0.0326381837468101,0.0278781012830189,0.00859494221479183,0.0224892522477576,0.0421369174464786,0.0224892522477576,0.0421369174464786,2095.80808090525,0,0.352676015408805,0.152580104546668
"2H",0.408443860552356,0.0412392725700828,0.0502362305183246,0.016307355775869,0.0136100981522477,0.0237678088694623,0.0136100981522477,0.0237678088694623,2095.03596180294,4.62822671042315,0.436961471623037,0.16579280219757
"2J",0.394216311241313,0.0357150200012518,0.0958978502007722,0.0279370502332216,0.0274535218822394,0.0465435700821408,0.0274535218822394,0.0465435700821408,2095.60333069727,1.47185348496011,0.513354606926641,0.141413383695338
"3K",0.387042494224299,0.0344759786889032,0.268729552791277,0.115070519330262,0.057663222757329,0.0938462769626156,0.057663222757329,0.0938462769626156,2095.08590587233,2.71555924115426,0.597131609386293,0.108075684241379
"3L",0.429708219101045,0.0458967874350869,0.674611777480836,0.226474214202051,0.0538102192961672,0.0788908289864962,0.0538102192961672,0.0788908289864962,2091.58114249323,8.10659519224912,0.747625285850174,0.0811152330835759
"3N",0.487921676873134,0.0314914514634634,1,0,0.0463973489925373,0.0710298150488848,0.0463973489925373,0.0710298150488848,2063.04764060903,22.8900017558753,0.847850939283582,0.0164681158196253
"3O",0.485195329022059,0.0300527869473982,1,0,0.0273704556875,0.0285091241417296,0.0273704556875,0.0285091241417296,2049.92647059791,24.8548491691655,0.814528769580882,0.0463490151287981
"3Pn",0.466924104346154,0.0340812594991004,1,0,0.157124455576923,0.113634969235827,0.157124455576923,0.113634969235827,2067.56410257364,18.2456360951998,0.827342371461538,0.0141529178145789
"3Ps",0.471652876101266,0.0360786338342133,0.987872686037975,0.0404387831006255,0.0615317545191083,0.101143443309573,0.0615317545191083,0.101143443309573,2068.31479350826,19.3712400694964,0.841126007550633,0.0119538257618848
"4R",0.474830685268293,0.0331353326526431,0.83277042045122,0.237588625939629,0.0481220844573171,0.0701722363277299,0.0481220844573171,0.0701722363277299,2069.9211628576,20.4122897310844,0.622698494329268,0.107840210676106
"4S",0.465875492164516,0.030746381487487,0.835001885264516,0.161809935307388,0.0755890206168831,0.110533775967862,0.0755890206168831,0.110533775967862,2078.78299122632,16.4066116351828,0.603663825825806,0.0507742089168758
"4T",0.519598411258152,0.0500698569751096,0.968315798375,0.0853632300177036,0.0638833505461956,0.087412037139761,0.0638833505461956,0.087412037139761,2042.69268774346,20.0333828325678,0.616671250625,0.0349381719596801
"4Vn",0.494240224319149,0.044625421199229,1,0,0.167013230978723,0.238159291764916,0.167013230978723,0.238159291764916,2046.92563936512,15.5804166099129,0.759867330212766,0.0529827052904504
"4Vs",0.476423456822115,0.0347129473891032,1,0,0.0778054656086886,0.099885544645528,0.0778054656086886,0.099885544645528,2044.46289820406,15.9542877116482,0.803605176096154,0.031515013962737
"4W",0.507844277642424,0.0354358783839154,1,0,0.0407801852303408,0.0684667868653036,0.0407801852303408,0.0684667868653036,2036.19375574499,24.0100136375584,0.751649216569697,0.0671854236576628
"4X",0.530677609621875,0.0487308997164948,0.88604544975625,0.205888391083872,0.0929483847955975,0.159784134334642,0.0929483847955975,0.159784134334642,2022.45265151668,15.3718031906829,0.781688792225,0.0570327281199892
"5Y",0.548811807125,0.0634673996341372,0.7399211215,0.300580508431734,0.2134467685,0.201673682644796,0.2134467685,0.201673682644796,2017.77777778046,6.31385277384127,0.78426529225,0.023756143117762
"5Ze",0.55251804065,0.0289791943132125,1,0,0.029923514475,0.0254324257493576,0.029923514475,0.0254324257493576,2015,0,0.7369616341,0.0580247166979049
